15.0,0.0,0.088
15.0,0.0,0.042
16.0,1.0,0.786
16.0,1.0,0.66
35.0,1.0,0.856
35.0,1.0,0.8
16.0,0.0,0.576
23.0,1.0,0.564
21.0,0.0,0.562
21.0,0.0,0.256
16.0,1.0,0.9
20.0,1.0,0.87
35.0,0.0,0.838
35.0,0.0,0.734
12.0,0.0,0.322
12.0,0.0,0.73
12.0,0.0,0.536
15.0,0.0,0.594
15.0,0.0,0.824
15.0,0.0,0.592
23.0,1.0,0.726
16.0,1.0,0.832
16.0,1.0,0.69
16.0,1.0,0.392
16.0,1.0,0.616
12.0,0.0,0.302
12.0,0.0,0.524
12.0,0.0,0.312
12.0,0.0,0.506
29.0,0.0,0.316
29.0,0.0,0.746
29.0,0.0,0.546
9.0,0.0,0.016
15.0,0.0,0.684
15.0,0.0,0.646
15.0,0.0,0.516
15.0,0.0,0.334
15.0,0.0,0.518
15.0,0.0,0.52
15.0,0.0,0.758
21.0,1.0,0.86
35.0,0.0,0.678
16.0,0.0,0.526
35.0,1.0,0.586
35.0,1.0,0.586
21.0,1.0,0.616
21.0,1.0,0.704
21.0,0.0,0.872
21.0,0.0,0.376
21.0,1.0,0.478
21.0,1.0,0.862
35.0,0.0,0.738
9.0,1.0,0.996
9.0,1.0,0.884
15.0,1.0,0.566
15.0,1.0,0.526
20.0,0.0,0.088
23.0,0.0,0.32
23.0,0.0,0.462
23.0,0.0,0.2
23.0,0.0,0.706
20.0,1.0,0.06
20.0,1.0,0.038
12.0,1.0,0.896
12.0,1.0,0.61
15.0,0.0,0.588
9.0,1.0,0.826
9.0,1.0,0.926
15.0,0.0,0.3
16.0,0.0,0.338
16.0,0.0,0.654
23.0,1.0,0.738
12.0,0.0,0.576
12.0,0.0,0.42
15.0,0.0,0.778
15.0,0.0,0.658
21.0,0.0,0.236
29.0,1.0,0.69
23.0,0.0,0.49
23.0,0.0,0.518
15.0,1.0,0.802
15.0,1.0,0.564
20.0,1.0,0.004
9.0,1.0,0.864
9.0,1.0,1.0
29.0,1.0,0.752
29.0,1.0,0.79
35.0,0.0,0.398
29.0,0.0,0.758
29.0,0.0,0.618
16.0,1.0,0.582
16.0,1.0,0.73
16.0,0.0,0.51
15.0,0.0,0.528
